Train ID:,Line,Destination,Service Day,Departure Timing,Stations Stopped at En Route,Service Class,Expected Travel Time En Route (Mins),Distance Covered (Miles)
3815,NEC,Trenton,Weekday,AM,13,Local,89,58.1
3217,NJCL,Long Branch,Weekday,AM,16,Local,96,53.9
3705,NEC,Jersey Avenue,Weekday,AM,4,Express,47,34.4
3817,NEC,Trenton,Weekday,AM,14,Local,97,58.1
3505,NJCL,South Amboy,Weekday,AM,5,Express,48,30.1
3221,NJCL,Long Branch-BH,Weekday,AM,26,Local,148,75.1
3821,NEC,Trenton,Weekday,AM,13,Local,91,58.1
3709,NEC,Jersey Avenue,Weekday,AM,7,Express,54,34.4
3223,NJCL,Long Branch-BH,Weekday,AM,25,Local,144,75.1
3823,NEC,Trenton,Weekday,AM,12,Semi-Local,91,58.1
3713,NEC,Jersey Avenue,Weekday,AM,9,Semi-Local,61,34.4
3825,NEC,Trenton,Weekday,AM,14,Local,95,58.1
3827,NEC,Trenton,Weekday,AM,14,Local,95,58.1
3915,NEC,Trenton,Weekday,AM,11,Semi-Local,91,58.1
3227,NJCL,Long Branch,Weekday,AM,15,Local,99,53.9
3917,NEC,Trenton,Weekday,AM,7,Express,75,58.1
3829,NEC,Trenton,Weekday,AM,13,Local,90,58.1
3831,NEC,Trenton,Weekday,AM,15,Local,97,58.1
3231,NJCL,Long Branch-BH,Weekday,AM,25,Local,145,75.1
3833,NEC,Trenton,Weekday,AM,13,Local,89,58.1
3835,NEC,Trenton,Weekday,AM,14,Local,91,58.1
3235,NJCL,Long Branch-BH,Weekday,AM,25,Local,147,75.1
3837,NEC,Trenton,Weekday,AM,14,Local,93,58.1
3839,NEC,Trenton,Weekday,AM,14,Local,96,58.1
3239,NJCL,Long Branch,Weekday,AM,17,Local,100,53.9
3841,NEC,Trenton,Weekday,PM,15,Local,94,58.1
3843,NEC,Trenton,Weekday,PM,14,Local,95,58.1
3243,NJCL,Long Branch-BH,Weekday,PM,25,Local,148,75.1
3845,NEC,Trenton,Weekday,PM,14,Local,94,58.1
8245,NJCL,Long Branch,Weekday Extra,PM,13,Semi-Local,94,53.9
3847,NEC,Trenton,Weekday,PM,15,Local,99,58.1
3247,NJCL,Long Branch,Weekday,PM,14,Semi-Local,96,53.9
8849,NEC,Trenton,Weekday Extra,PM,7,Express,79,58.1
3849,NEC,Trenton,Weekday,PM,14,Local,97,58.1
8851,NEC,Trenton,Weekday Extra,PM,8,Express,85,58.1
3719,NEC,Jersey Avenue,Weekday,PM,12,Local,69,34.4
