Train ID:,Line,Destination,Service Day,Departure Timing,Stations Stopped at En Route,Service Class
7637,NJCL,Rahway,Weekend/Holiday,AM,7,Local
7837,NEC,Trenton,Weekend/Holiday,AM,13,Local
7839,NEC,Rahway,Weekend/Holiday,PM,6,Local
7241,NJCL,Long Branch,Weekend/Holiday,PM,13,Semi-Local
7841,NEC,Trenton,Weekend/Holiday,PM,14,Local
8841,NEC,Trenton,Weekend/Holiday Extra,PM,9,Express
7245,NJCL,Long Branch-BH,Weekend/Holiday,PM,25,Local
7845,NEC,Trenton,Weekend/Holiday,PM,14,Local
7847,NEC,Trenton,Weekend/Holiday,PM,10,Express
7249,NJCL,Long Branch,Weekend/Holiday,PM,16,Local
7849,NEC,Trenton,Weekend/Holiday,PM,14,Local
7851,NEC,Trenton,Weekend/Holiday,PM,10,Express
7253,NJCL,Long Branch-BH,Weekend/Holiday,PM,25,Local
7853,NEC,Trenton,Weekend/Holiday,PM,14,Local
7855,NEC,Trenton,Weekend/Holiday,PM,10,Express
7657,NJCL,Rahway,Weekend/Holiday,PM,7,Local
7257,NJCL,Long Branch,Weekend/Holiday,PM,16,Local
7857,NEC,Trenton,Weekend/Holiday,PM,13,Local
8325,NJCL,Bay Head,Weekend/Holiday Extra,PM,22,Express
7859,NEC,Trenton,Weekend/Holiday,PM,10,Express
7661,NJCL,Rahway,Weekend/Holiday,PM,6,Local
7261,NJCL,Long Branch-BH,Weekend/Holiday,PM,25,Local
7861,NEC,Trenton,Weekend/Holiday,PM,13,Local
8861,NEC,Trenton,Weekend/Holiday Extra,PM,9,Express
7863,NEC,Trenton,Weekend/Holiday,PM,9,Express
7665,NJCL,Rahway,Weekend/Holiday,PM,6,Local
7265,NJCL,Long Branch-BH,Weekend/Holiday,PM,25,Local
7865,NEC,Trenton,Weekend/Holiday,PM,13,Local
8865,NEC,Trenton,Weekend/Holiday Extra,PM,9,Express
7867,NEC,Trenton,Weekend/Holiday,PM,10,Express
7269,NJCL,Long Branch,Weekend/Holiday,PM,17,Local
7869,NEC,Trenton,Weekend/Holiday,PM,13,Local
7673,NJCL,Rahway,Weekend/Holiday,PM,6,Local
7871,NEC,Trenton,Weekend/Holiday,PM,10,Express
7273,NJCL,Long Branch-BH,Weekend/Holiday,PM,23,Local
