Train ID:,Line,Destination,Service Day,Departure Timing,Stations Stopped at En Route,Service Class,Expected Travel Time En Route (Mins),Distance Covered (Miles),Configuration Direction,Expected Average Speed En Route (mph),Expected Average Acceleration En Route
6945,M&E,Dover,Weekend/Holiday,PM,18,Local,103,43.1,R,25.10679611650486,2.391239513620511
6907,M&E,Dover,Weekend/Holiday,Late Night,19,Local,99,43.1,W,26.12121212121212,2.588374655647383
6909,M&E,Dover,Weekend/Holiday,Late Night,20,Local,103,43.1,W,25.10679611650486,2.391239513620511
6209,MOBO,MSU,Weekday,AM,4,Express,47,22.6,R,28.85106382978724,6.021892258940698
6213,MOBO,MSU,Weekday,AM,11,Local,51,22.6,W,26.58823529411765,5.114325259515572
6215,MOBO,MSU,Weekday,AM,11,Local,51,22.6,W,26.58823529411765,5.114325259515572
6219,MOBO,MSU,Weekday,AM,12,Local,52,22.6,R,26.07692307692308,4.919511834319526
6227,MOBO,MSU,Weekday,AM,11,Local,46,22.6,R,29.47826086956522,6.2865595463138
6231,MOBO,MSU,Weekday,AM,12,Local,56,22.6,R,24.21428571428572,4.241823979591837
6233,MOBO,MSU,Weekday,AM,12,Local,58,22.6,R,23.37931034482759,3.954328180737218
6237,MOBO,MSU,Weekday,AM,12,Local,56,22.6,R,24.21428571428572,4.241823979591837
6241,MOBO,MSU,Weekday,PM,12,Local,56,22.6,R,24.21428571428572,4.241823979591837
6245,MOBO,MSU,Weekday,PM,12,Local,58,22.6,R,23.37931034482759,3.954328180737218
6251,MOBO,MSU,Weekday,PM,12,Local,53,22.6,R,25.58490566037736,4.73562121751513
6253,MOBO,MSU,Weekday,PM,12,Local,51,22.6,R,26.58823529411765,5.114325259515572
6263,MOBO,MSU,Weekday,PM,11,Local,49,22.6,R,27.67346938775511,5.540341524364849
6273,MOBO,MSU,Weekday,PM,11,Local,53,22.6,W,25.58490566037736,4.73562121751513
6279,MOBO,MSU,Weekday,PM,11,Local,54,22.6,W,25.11111111111111,4.561851851851853
6283,MOBO,MSU,Weekday,PM,12,Local,54,22.6,W,25.11111111111111,4.561851851851853
6291,MOBO,MSU,Weekday,PM,12,Local,52,22.6,R,26.07692307692308,4.919511834319526
6293,MOBO,MSU,Weekday,PM,12,Local,52,22.6,R,26.07692307692308,4.919511834319526
